Timestamp,Username,VideoID,Comment,Date
2025-04-22T08:02:40Z,@revalinoandrean8085,SzXMacu80o8,otak kosong,2025-04-22T08:02:40Z
2025-04-22T08:02:38Z,@marcoandersoon6555,SzXMacu80o8,Kesini setelah nonton Feri Irwandi.. Alhasil capek ngelike komentar 🙌🏼,2025-04-22T08:02:38Z
2025-04-22T08:02:38Z,@syarifnurjaman7180,SzXMacu80o8,Tips punya anak sekolahkan bahasa guys.. bahaya di pipim orang ini mana ngerti,2025-04-22T08:02:38Z
2025-04-22T08:02:36Z,@haidartaqy2631,SzXMacu80o8,😂,2025-04-22T08:02:36Z
2025-04-22T08:02:34Z,@Petugas-Rakyat,SzXMacu80o8,*pause video langsung baca koment* jangan lupa dislike,2025-04-22T08:02:34Z
2025-04-22T08:02:34Z,@Hendrik-j1y,SzXMacu80o8,Generasi muda Indonesia mendukung penuh Pak Gibran! Teruslah maju dan jangan pernah menyerah dalam mewujudkan Indonesia yang lebih baik.,2025-04-22T08:02:34Z
2025-04-22T08:02:30Z,@axxyid,SzXMacu80o8,"puas liat komennya awokawok, konten ga guna",2025-04-22T08:02:30Z
2025-04-22T08:02:26Z,@hanapil6267,SzXMacu80o8,2030 indo masih ada?,2025-04-22T08:02:26Z
2025-04-22T08:02:25Z,@rahmanfajri2949,SzXMacu80o8,OoOo ini ni yt yg lg viral...pdhal dah susah saya menyakinkan hati saya utk tdak mencaari yt ini..tp kalah sama penasaran isi  kolom komen netizen..maaf y saya nulis komen ini videony d pause..krna saya cm ingin nilis aja..dah cukup😅😅,2025-04-22T08:02:25Z
2025-04-22T08:02:21Z,@hello.hellokids,SzXMacu80o8,Mmpir cuma baca komen aja.. 😅,2025-04-22T08:02:21Z
2025-04-22T08:02:20Z,@blacksunsteelwolves,SzXMacu80o8,Wiwok de tok,2025-04-22T08:02:20Z
